Top queries,Clicks,Impressions,CTR,Position
gopay11,12,65,18.46%,9.48
gopay 11 download apk,8,12,66.67%,2.67
gopay 11 apk download,1,12,8.33%,8.33
goplay 11 apk,1,10,10%,24.2
gopay 11 download,1,8,12.5%,5
gopay 11 apk,1,6,16.67%,7.5
goplay 11 apk download,1,3,33.33%,16.33
goplay 11 app,1,3,33.33%,34.33
go pay 11,1,1,100%,2
google play 11 apk,0,3,0%,6.33
goplay11app,0,2,0%,47.5
gopay 11 app download,0,1,0%,6
gopay11 app,0,1,0%,15
goplay 11apk,0,1,0%,40
goplay11 download,0,1,0%,50
go play,0,1,0%,111
